ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
1832,EDUCACIÓN
1834,CIENCIAS SOCIALES
1836,ECONOMÍA
1837,ADMINISTRACIÓN Y AFINES
1838,PSICOLOGÍA
1846,EDUCACIÓN
1847,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1853,SALUD
1854,ADMINISTRACIÓN Y AFINES
1855,INGENIERÍA
1856,INGENIERÍA
1861,CIENCIAS NATURALES Y EXACTAS
1870,DERECHO
1872,HUMANIDADES
1873,EDUCACIÓN
1874,CIENCIAS SOCIALES
1875,ADMINISTRACIÓN Y AFINES
1877,SALUD
1878,SALUD
1881,CIENCIAS AGROPECUARIAS 
1883,INGENIERÍA
1884,INGENIERÍA
1885,INGENIERÍA
1892,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1893,ADMINISTRACIÓN Y AFINES
1894,CONTADURÍA Y AFINES
1895,INGENIERÍA
1914,BELLAS ARTES Y DISEÑO
1915,SALUD
1916,SALUD
1918,INGENIERÍA
1919,INGENIERÍA
1928,CIENCIAS AGROPECUARIAS 
1937,EDUCACIÓN
1942,CONTADURÍA Y AFINES
1943,INGENIERÍA
1944,INGENIERÍA
1946,INGENIERÍA
1953,ADMINISTRACIÓN Y AFINES
1956,CIENCIAS SOCIALES
1958,DERECHO
1976,INGENIERÍA
1977,ARQUITECTURA Y URBANISMO 
1980,INGENIERÍA
1981,INGENIERÍA
1982,INGENIERÍA
1983,ADMINISTRACIÓN Y AFINES
1984,INGENIERÍA
1988,INGENIERÍA
1989,ADMINISTRACIÓN Y AFINES
1991,ADMINISTRACIÓN Y AFINES
2009,ADMINISTRACIÓN Y AFINES
2016,CIENCIAS NATURALES Y EXACTAS
2034,EDUCACIÓN
2037,INGENIERÍA
2039,ADMINISTRACIÓN Y AFINES
2040,CONTADURÍA Y AFINES
2046,ADMINISTRACIÓN Y AFINES
2048,CIENCIAS AGROPECUARIAS 
2049,EDUCACIÓN
2051,ADMINISTRACIÓN Y AFINES
2052,INGENIERÍA
2053,EDUCACIÓN
2054,SALUD
2055,SALUD
2115,INGENIERÍA
2130,CIENCIAS NATURALES Y EXACTAS
2234,INGENIERÍA
2445,INGENIERÍA
2453,ADMINISTRACIÓN Y AFINES
2459,SALUD
2460,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2497,BELLAS ARTES Y DISEÑO
2508,DERECHO
2512,CIENCIAS AGROPECUARIAS 
2518,MEDICINA
2519,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2520,INGENIERÍA
2524,INGENIERÍA
2525,DERECHO
2526,ADMINISTRACIÓN Y AFINES
2533,PSICOLOGÍA
2534,DERECHO
2535,ADMINISTRACIÓN Y AFINES
2536,INGENIERÍA
2537,INGENIERÍA
2539,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2540,CONTADURÍA Y AFINES
2541,INGENIERÍA
2542,ENFERMERÍA
2543,INGENIERÍA
2549,MEDICINA
2555,INGENIERÍA
2561,ADMINISTRACIÓN Y AFINES
2562,CONTADURÍA Y AFINES
2563,INGENIERÍA
2564,INGENIERÍA
2566,INGENIERÍA
2572,DERECHO
2579,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2611,EDUCACIÓN
2612,INGENIERÍA
2616,BELLAS ARTES Y DISEÑO
2618,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2621,INGENIERÍA
2623,ECONOMÍA
2633,INGENIERÍA
2634,INGENIERÍA
2636,ADMINISTRACIÓN Y AFINES
2648,ADMINISTRACIÓN Y AFINES
2652,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2653,ADMINISTRACIÓN Y AFINES
2671,BELLAS ARTES Y DISEÑO
2683,MEDICINA
2689,PSICOLOGÍA
2690,CIENCIAS SOCIALES
2692,PSICOLOGÍA
2693,DERECHO
2715,EDUCACIÓN
2718,EDUCACIÓN
2721,DERECHO
2722,DERECHO
2723,DERECHO
2729,CONTADURÍA Y AFINES
2730,CIENCIAS NATURALES Y EXACTAS
2731,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
2746,ECONOMÍA
2754,ADMINISTRACIÓN Y AFINES
2759,EDUCACIÓN
2760,INGENIERÍA
2761,CIENCIAS NATURALES Y EXACTAS
2762,CIENCIAS NATURALES Y EXACTAS
2767,SALUD
2776,INGENIERÍA
2777,CIENCIAS NATURALES Y EXACTAS
2779,CIENCIAS AGROPECUARIAS 
2784,INGENIERÍA
2806,BELLAS ARTES Y DISEÑO
2807,SALUD
2821,PSICOLOGÍA
2825,INGENIERÍA
2826,PSICOLOGÍA
2829,PSICOLOGÍA
2830,CIENCIAS NATURALES Y EXACTAS
2831,ADMINISTRACIÓN Y AFINES
2842,CIENCIAS NATURALES Y EXACTAS
2850,INGENIERÍA
2858,INGENIERÍA
2861,ADMINISTRACIÓN Y AFINES
2866,INGENIERÍA
2887,CIENCIAS AGROPECUARIAS 
2888,BELLAS ARTES Y DISEÑO
2889,INGENIERÍA
2890,INGENIERÍA
2891,INGENIERÍA
2901,INGENIERÍA
2914,ADMINISTRACIÓN Y AFINES
2922,BELLAS ARTES Y DISEÑO
2923,INGENIERÍA
2929,INGENIERÍA
2935,BELLAS ARTES Y DISEÑO
2937,INGENIERÍA
2938,INGENIERÍA
2964,ADMINISTRACIÓN Y AFINES
2966,INGENIERÍA
2971,INGENIERÍA
2972,EDUCACIÓN
2989,DERECHO
2992,INGENIERÍA
2993,INGENIERÍA
2995,CIENCIAS NATURALES Y EXACTAS
2998,CONTADURÍA Y AFINES
3020,PSICOLOGÍA
3026,INGENIERÍA
3040,ADMINISTRACIÓN Y AFINES
3048,CIENCIAS NATURALES Y EXACTAS
3053,INGENIERÍA
3054,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3055,ADMINISTRACIÓN Y AFINES
3078,CIENCIAS SOCIALES
3079,INGENIERÍA
3087,PSICOLOGÍA
3098,EDUCACIÓN
3100,BELLAS ARTES Y DISEÑO
3101,BELLAS ARTES Y DISEÑO
3102,SALUD
3103,CIENCIAS SOCIALES
3104,CIENCIAS AGROPECUARIAS 
3109,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3127,INGENIERÍA
3128,INGENIERÍA
3134,INGENIERÍA
3136,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3137,CIENCIAS NATURALES Y EXACTAS
3139,INGENIERÍA
3140,CIENCIAS SOCIALES
3141,ECONOMÍA
3147,INGENIERÍA
3149,RECREACIÓN Y DEPORTES
3165,ADMINISTRACIÓN Y AFINES
3167,ADMINISTRACIÓN Y AFINES
3173,EDUCACIÓN
3177,DERECHO
3182,ECONOMÍA
3190,CONTADURÍA Y AFINES
3193,INGENIERÍA
3203,INGENIERÍA
3204,INGENIERÍA
3205,ADMINISTRACIÓN Y AFINES
3229,ECONOMÍA
3237,INGENIERÍA
